place,region,lat,long,image_url,visited_year
"Podgorica, Montenegro",eur,42.4415238,19.2621081,https://i.imgur.com/qQ5gQnp.jpg,2023
"Perast, Montenegro",eur,42.4862681,18.6988592,https://i.imgur.com/sVgLTuT.jpg,2023
"Istanbul, Turkiye",eur,41.0091982,28.9662187,https://i.imgur.com/qsDia6X.jpg,2023
"Paphos, Cyprus",eur,34.7743988,32.4231586,https://i.imgur.com/cEAAONR.jpg,2023
"Nicosia, Cyprus",eur,35.1748976,33.3638568,https://i.imgur.com/8hb0TiQ.jpg,2023
"Skadarsko Jezero, Montenegro",eur,42.195312,19.29269405,https://i.imgur.com/pY184xv.jpg,2023
"Girne, Cyprus",eur,35.3352654,33.3188405,https://i.imgur.com/nf2f1RT.jpg,2023
"Cape Greco, Cyprus",eur,34.9726874,34.0587536,https://i.imgur.com/vNhEXLc.jpg,2023
"Buyukada, Turkiye",eur,40.8563545,29.11903663,https://i.imgur.com/HwQ5Hv5.jpg,2023
"West Yellowstone, MT",nam,44.6632505,-111.101169,https://i.imgur.com/3Gvj6l7.jpg,2023
"Midway Geyser Basin, WY",nam,44.5280983,-110.8361148,https://i.imgur.com/T9O1omi.jpg,2023
"West Thumb, WY",nam,44.4167607,-110.5737442,https://i.imgur.com/9TgsZsC.jpg,2023
"Rio de Janeiro, Brazil",sam,-22.9110137,-43.2093727,NA,2023
"Mammoth, WY",nam,44.976628,-110.7007232,https://i.imgur.com/rBH46aQ.jpg,2023
